city,n_candidates,n_true_wh,mean_score,median_score,n_core,n_secondary,known_wh_density,model_opportunity_score
Marietta,12,10,0.8009167024714478,0.9150629230892763,11,0,0.8333,8.81
Medford,1,1,0.9893832832823257,0.9893832832823257,1,0,1.0,0.989
Memphis,3,3,0.9984583178533154,0.9990349938272444,3,0,1.0,2.995
Mesa,3,3,0.9613515627025039,0.9943545451780483,3,0,1.0,2.884
Metairie,2,2,0.9834268435884963,0.9834268435884963,2,0,1.0,1.967
Miami,2,2,0.9398650872997485,0.9398650872997485,2,0,1.0,1.88
Miami Beach,2,2,0.9535063363439682,0.9535063363439682,2,0,1.0,1.907
Milwaukee,3,3,0.9474835057904906,0.9474937491638511,3,0,1.0,2.842
Minneapolis,10,10,0.9183164481334332,0.9957313052379937,10,0,1.0,9.183
Mobile,4,4,0.9332283451502169,0.965357529488239,4,0,1.0,3.733
Monroe,1,0,0.6932551064344614,0.6932551064344614,1,0,0.0,0.693
Montgomery,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Morgantown,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Muncie,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Murfreesboro,2,2,0.9960787875709971,0.9960787875709971,2,0,1.0,1.992
Nashville,1,1,0.7361627550770807,0.7361627550770807,1,0,1.0,0.736
National City,2,2,0.9918503854212146,0.9918503854212146,2,0,1.0,1.984
New Albany,1,1,0.91349598178142,0.91349598178142,1,0,1.0,0.913
New Bedford,1,1,0.9662466173712063,0.9662466173712063,1,0,1.0,0.966
New Haven,2,2,0.982947989549783,0.982947989549783,2,0,1.0,1.966
New Orleans,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
New York,11,6,0.4322856134596144,0.48341276973914077,6,0,0.5455,2.594
Newark,7,7,0.8565886159455944,0.918954043140603,7,0,1.0,5.996
Niagara Falls,62,19,0.3385692775925523,0.15915679171769254,28,0,0.3065,9.48
Norfolk,4,2,0.7544013964399747,0.8085199160433263,4,0,0.5,3.018
Oakland,2,2,0.7973818573634177,0.7973818573634177,2,0,1.0,1.595
Oceanside,3,3,0.9230846979921038,0.9961059240436048,3,0,1.0,2.769
Ogden,1,1,0.9503241244733099,0.9503241244733099,1,0,1.0,0.95
Oklahoma City,15,4,0.32125920838911254,0.10089141772723048,5,0,0.2667,1.606
Olympia,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Omaha,3,3,0.9853389320316538,0.9972529041949845,3,0,1.0,2.956
Orlando,3,3,0.9985177830304087,0.9995416396666835,3,0,1.0,2.996
Oshkosh,1,1,0.9824000488851615,0.9824000488851615,1,0,1.0,0.982
Pasadena,8,7,0.8659598288866326,0.9632549901730141,8,0,0.875,6.928
Paterson,12,7,0.5654230122385145,0.5827854645296726,9,0,0.5833,5.089
Pensacola,1,1,0.9825226016688134,0.9825226016688134,1,0,1.0,0.983
Philadelphia,7,7,0.6353823008020975,0.6495638400682405,6,0,1.0,3.812
Phoenix,2,2,0.5644559764261617,0.5644559764261617,1,0,1.0,0.564
Pittsburgh,5,5,0.8437073682607945,0.9565356866794479,5,0,1.0,4.219
Pocatello,1,1,0.8381911419184248,0.8381911419184248,1,0,1.0,0.838
Port Charlotte,1,1,0.9372297173647479,0.9372297173647479,1,0,1.0,0.937
