source,id,lat,lon,score,tier,osm_category,area_sqm,maps_link,model_version,scored_date,rank,score_adjusted,tier_adjusted
overture_discovery,ov_12,33.1507883566398,-96.66755735919958,0.014108671188184334,Deprioritized,unknown,33294.0,"https://www.google.com/maps/@33.1507883566398,-96.66755735919958,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1154,0.0005,Deprioritized
known_osm,neg_575,35.4769769,-97.64562571122951,0.013657353038187532,Deprioritized,school,,"https://www.google.com/maps/@35.4769769,-97.64562571122951,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1155,0.0004,Deprioritized
known_osm,neg_1184,29.595299,-98.4213965064982,0.01348537998036135,Deprioritized,retail_large,,"https://www.google.com/maps/@29.595299,-98.4213965064982,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1156,0.0004,Deprioritized
known_osm,neg_16,40.5056374,-74.85170025299286,0.013450553169410696,Deprioritized,fuel,,"https://www.google.com/maps/@40.5056374,-74.85170025299286,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1157,0.0004,Deprioritized
known_osm,neg_687,47.231564,-122.21228367245764,0.013284170777242605,Deprioritized,park,,"https://www.google.com/maps/@47.231564,-122.21228367245764,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1158,0.0004,Deprioritized
known_osm,pos_3667,39.8927637,-75.1700175,0.012497426360215315,Deprioritized,warehouse,,"https://www.google.com/maps/@39.8927637,-75.1700175,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1159,0.0004,Deprioritized
known_osm,neg_449,47.6757093,-122.2000589,0.012078572766051768,Deprioritized,supermarket,,"https://www.google.com/maps/@47.6757093,-122.2000589,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1160,0.0004,Deprioritized
known_osm,neg_1150,42.03499569999999,-88.14538029999999,0.011875816881145083,Deprioritized,retail_large,,"https://www.google.com/maps/@42.03499569999999,-88.14538029999999,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1161,0.0004,Deprioritized
known_osm,neg_898,47.2029012,-122.2195154,0.011740445895691854,Deprioritized,sports_centre,,"https://www.google.com/maps/@47.2029012,-122.2195154,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1162,0.0004,Deprioritized
known_osm,neg_539,29.3786592,-98.6129101,0.011322825839999334,Deprioritized,school,,"https://www.google.com/maps/@29.3786592,-98.6129101,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1163,0.0004,Deprioritized
known_osm,neg_595,35.4991312,-97.6106124,0.011118672221775124,Deprioritized,school,,"https://www.google.com/maps/@35.4991312,-97.6106124,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1164,0.0004,Deprioritized
known_osm,neg_634,40.8787106,-73.9990277,0.010634536159470345,Deprioritized,park,,"https://www.google.com/maps/@40.8787106,-73.9990277,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1165,0.0003,Deprioritized
known_osm,neg_588,35.50170685,-97.5916031,0.01040027056458476,Deprioritized,school,,"https://www.google.com/maps/@35.50170685,-97.5916031,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1166,0.0003,Deprioritized
